label,text
ham,"Hi, just wanted to check in and see how you are doing."
spam,"Congratulations! You've won a $1000 gift card. Click here."
ham,"Can we reschedule our meeting for tomorrow morning?"
spam,"URGENT: Your account has been compromised. Verify now."
ham,"Thanks for sending the document. I will review it shortly."
spam,"Buy cheap viagra online now with free shipping."
ham,"Let's catch up for lunch next week."
spam,"Exclusive deal: Get 50% off on all products today only."
ham,"What time works for you on Friday?"
spam,"You have been selected for a special prize. Claim it now!"
ham,"I've attached the project proposal for your review."
spam,"Earn extra cash from home. Easy work, high payout."